seed_run,fold_test_year,disease,disease_id,w_tcn,w_bilstm,w_transformer
42,2020,Yellow Fever,6,0.32921528816223145,0.29185736179351807,0.3789273202419281
42,2020,AFP,0,0.2168249487876892,0.25901326537132263,0.5241618156433105
42,2020,CSM,1,0.22386173903942108,0.2536145746707916,0.5225237607955933
42,2020,Cholera,2,0.22187161445617676,0.26187700033187866,0.5162513852119446
42,2020,Lassa Fever,3,0.22149083018302917,0.2563539743423462,0.522155225276947
42,2020,Measles,4,0.21306633949279785,0.2522716224193573,0.5346620678901672
42,2020,Mpox,5,0.21934133768081665,0.2537569999694824,0.5269016623497009
42,2020,Yellow Fever,6,0.2208249717950821,0.24992917478084564,0.5292458534240723
42,2020,AFP,0,0.14999842643737793,0.2347886711359024,0.6152129173278809
42,2020,CSM,1,0.1540541797876358,0.23655366897583008,0.6093921661376953
42,2020,Cholera,2,0.1526898741722107,0.23624545335769653,0.611064612865448
42,2020,Lassa Fever,3,0.15176643431186676,0.2364913374185562,0.6117421984672546
42,2020,Measles,4,0.14771120250225067,0.23103776574134827,0.6212510466575623
42,2020,Mpox,5,0.15240757167339325,0.23626263439655304,0.6113297939300537
42,2020,Yellow Fever,6,0.15005779266357422,0.2321525365114212,0.6177896857261658
42,2020,AFP,0,0.31986093521118164,0.27952438592910767,0.4006146788597107
42,2020,CSM,1,0.3224799633026123,0.27746665477752686,0.40005332231521606
42,2020,Cholera,2,0.32202115654945374,0.2798670530319214,0.3981117904186249
42,2020,Lassa Fever,3,0.32255199551582336,0.27753669023513794,0.3999113142490387
42,2020,Measles,4,0.31543219089508057,0.2759319841861725,0.4086358845233917
42,2020,Mpox,5,0.32052522897720337,0.27354303002357483,0.4059317111968994
42,2020,Yellow Fever,6,0.318387895822525,0.2793501615524292,0.4022619426250458
42,2020,AFP,0,0.31094199419021606,0.2476254403591156,0.44143253564834595
42,2020,CSM,1,0.31310516595840454,0.24405328929424286,0.44284147024154663
42,2020,Cholera,2,0.31276053190231323,0.24573229253292084,0.44150716066360474
42,2020,Lassa Fever,3,0.31340083479881287,0.24624302983283997,0.44035613536834717
42,2020,Measles,4,0.3068866431713104,0.24494130909442902,0.44817209243774414
42,2020,Mpox,5,0.31087470054626465,0.24023893475532532,0.44888633489608765
42,2020,Yellow Fever,6,0.31088683009147644,0.24010609090328217,0.449007123708725
42,2020,AFP,0,0.3127972185611725,0.29993632435798645,0.3872663676738739
42,2020,CSM,1,0.3135988116264343,0.30012384057044983,0.38627737760543823
42,2020,Cholera,2,0.3118528127670288,0.29781827330589294,0.39032894372940063
42,2020,Lassa Fever,3,0.314888060092926,0.30297204852104187,0.3821399211883545
42,2020,Measles,4,0.30948710441589355,0.29339340329170227,0.3971194624900818
42,2020,Mpox,5,0.3121581971645355,0.2965732514858246,0.3912685215473175
42,2020,Yellow Fever,6,0.30975425243377686,0.29442480206489563,0.3958210349082947
42,2020,AFP,0,0.3249908983707428,0.3291529715061188,0.3458561599254608
42,2020,CSM,1,0.3255990445613861,0.32957860827445984,0.3448222875595093
42,2020,Cholera,2,0.3262237012386322,0.3279889225959778,0.34578737616539
42,2020,Lassa Fever,3,0.3280279338359833,0.33246293663978577,0.3395090699195862
42,2020,Measles,4,0.32341963052749634,0.3228684365749359,0.35371196269989014
42,2020,Mpox,5,0.3243516683578491,0.3253227174282074,0.3503255248069763
42,2020,Yellow Fever,6,0.3242434561252594,0.32513365149497986,0.35062283277511597
42,2020,AFP,0,0.30368462204933167,0.31517913937568665,0.3811362087726593
42,2020,CSM,1,0.3040042221546173,0.3145895004272461,0.3814062476158142
42,2020,Cholera,2,0.3033292293548584,0.3127261698246002,0.38394463062286377
42,2020,Lassa Fever,3,0.3078550100326538,0.3171935975551605,0.37495142221450806
42,2020,Measles,4,0.3016543984413147,0.30741414427757263,0.39093145728111267
