disease,MAE,n,variant,seed_run,fold_test_year
Yellow Fever,0.6789335608482361,52,no_transformer,42,2025
AFP,0.655325174331665,52,full_uniform,42,2025
CSM,1.8233145475387573,52,full_uniform,42,2025
Cholera,1.5440641641616821,52,full_uniform,42,2025
Lassa Fever,0.372090220451355,52,full_uniform,42,2025
Measles,1.7425570487976074,52,full_uniform,42,2025
Mpox,1.7246216535568237,52,full_uniform,42,2025
Yellow Fever,0.6715570092201233,52,full_uniform,42,2025
AFP,1.6705905199050903,9,tcn_only,42,2026
CSM,0.7059547901153564,9,tcn_only,42,2026
Cholera,1.77537202835083,9,tcn_only,42,2026
Lassa Fever,0.6630363464355469,9,tcn_only,42,2026
Measles,0.6645863652229309,9,tcn_only,42,2026
Mpox,0.4888855516910553,9,tcn_only,42,2026
Yellow Fever,0.8227316737174988,9,tcn_only,42,2026
AFP,1.4679714441299438,9,bilstm_only,42,2026
CSM,0.8186073303222656,9,bilstm_only,42,2026
Cholera,1.5590744018554688,9,bilstm_only,42,2026
Lassa Fever,0.767906665802002,9,bilstm_only,42,2026
Measles,0.24028073251247406,9,bilstm_only,42,2026
Mpox,0.8705089688301086,9,bilstm_only,42,2026
Yellow Fever,0.6176919937133789,9,bilstm_only,42,2026
AFP,1.5172686576843262,9,transformer_only,42,2026
CSM,0.6934635639190674,9,transformer_only,42,2026
Cholera,1.5613512992858887,9,transformer_only,42,2026
Lassa Fever,0.7235133647918701,9,transformer_only,42,2026
Measles,0.28209272027015686,9,transformer_only,42,2026
Mpox,0.7238801121711731,9,transformer_only,42,2026
Yellow Fever,0.6675780415534973,9,transformer_only,42,2026
AFP,1.4765270948410034,9,no_tcn,42,2026
CSM,0.7832269072532654,9,no_tcn,42,2026
Cholera,1.4196346998214722,9,no_tcn,42,2026
Lassa Fever,0.7711412906646729,9,no_tcn,42,2026
Measles,0.26860591769218445,9,no_tcn,42,2026
Mpox,0.7904806137084961,9,no_tcn,42,2026
Yellow Fever,0.6263497471809387,9,no_tcn,42,2026
AFP,1.4639593362808228,9,no_bilstm,42,2026
CSM,0.8109166622161865,9,no_bilstm,42,2026
Cholera,1.4160162210464478,9,no_bilstm,42,2026
Lassa Fever,0.7715198397636414,9,no_bilstm,42,2026
Measles,0.2830858826637268,9,no_bilstm,42,2026
Mpox,0.8179031610488892,9,no_bilstm,42,2026
Yellow Fever,0.6136319041252136,9,no_bilstm,42,2026
AFP,1.50932776927948,9,no_transformer,42,2026
CSM,0.7109593749046326,9,no_transformer,42,2026
Cholera,1.5301909446716309,9,no_transformer,42,2026
Lassa Fever,0.7392337322235107,9,no_transformer,42,2026
Measles,0.2828325629234314,9,no_transformer,42,2026
Mpox,0.7189100980758667,9,no_transformer,42,2026
Yellow Fever,0.6595423221588135,9,no_transformer,42,2026
AFP,1.471272587776184,9,full_uniform,42,2026
CSM,0.7948039174079895,9,full_uniform,42,2026
Cholera,1.3866935968399048,9,full_uniform,42,2026
Lassa Fever,0.7649340629577637,9,full_uniform,42,2026
Measles,0.2720456123352051,9,full_uniform,42,2026
Mpox,0.8019458055496216,9,full_uniform,42,2026
Yellow Fever,0.6210324168205261,9,full_uniform,42,2026
AFP,0.3168778121471405,50,tcn_only,123,2020
CSM,1.035733699798584,50,tcn_only,123,2020
Cholera,2.0089244842529297,50,tcn_only,123,2020
Lassa Fever,0.5919367671012878,50,tcn_only,123,2020
Measles,0.9444226622581482,50,tcn_only,123,2020
Mpox,0.8367729187011719,50,tcn_only,123,2020
Yellow Fever,1.0346795320510864,50,tcn_only,123,2020
AFP,0.25602662563323975,50,bilstm_only,123,2020
CSM,1.0332372188568115,50,bilstm_only,123,2020
Cholera,1.9939751625061035,50,bilstm_only,123,2020
Lassa Fever,0.6160843968391418,50,bilstm_only,123,2020
Measles,1.0338575839996338,50,bilstm_only,123,2020
Mpox,0.8297330737113953,50,bilstm_only,123,2020
Yellow Fever,1.0503201484680176,50,bilstm_only,123,2020
