disease,MAE,n,variant,seed_run,fold_test_year
Cholera,1.6650354862213135,9,entropy_w_0.02,42,2026
Lassa Fever,0.7471592426300049,9,entropy_w_0.02,42,2026
Measles,0.30609163641929626,9,entropy_w_0.02,42,2026
Mpox,0.4782121479511261,9,entropy_w_0.02,42,2026
Yellow Fever,0.5524470210075378,9,entropy_w_0.02,42,2026
AFP,1.4404816627502441,9,entropy_w_0.05,42,2026
CSM,0.7695244550704956,9,entropy_w_0.05,42,2026
Cholera,1.575592041015625,9,entropy_w_0.05,42,2026
Lassa Fever,0.7458402514457703,9,entropy_w_0.05,42,2026
Measles,0.27572980523109436,9,entropy_w_0.05,42,2026
Mpox,0.8560101985931396,9,entropy_w_0.05,42,2026
Yellow Fever,0.5974876880645752,9,entropy_w_0.05,42,2026
AFP,1.3714836835861206,9,entropy_w_0.1,42,2026
CSM,0.49526724219322205,9,entropy_w_0.1,42,2026
Cholera,1.8802685737609863,9,entropy_w_0.1,42,2026
Lassa Fever,0.5553863048553467,9,entropy_w_0.1,42,2026
Measles,0.5640647411346436,9,entropy_w_0.1,42,2026
Mpox,0.4012638330459595,9,entropy_w_0.1,42,2026
Yellow Fever,0.5277970433235168,9,entropy_w_0.1,42,2026
AFP,1.3314157724380493,9,entropy_w_0.2,42,2026
CSM,0.6644096970558167,9,entropy_w_0.2,42,2026
Cholera,1.2595144510269165,9,entropy_w_0.2,42,2026
Lassa Fever,0.6813640594482422,9,entropy_w_0.2,42,2026
Measles,0.21631161868572235,9,entropy_w_0.2,42,2026
Mpox,0.8622167706489563,9,entropy_w_0.2,42,2026
Yellow Fever,0.4597017467021942,9,entropy_w_0.2,42,2026
AFP,0.3107655644416809,50,uniform_gate,123,2020
CSM,1.092411994934082,50,uniform_gate,123,2020
Cholera,2.107417106628418,50,uniform_gate,123,2020
Lassa Fever,0.6118893623352051,50,uniform_gate,123,2020
Measles,1.0733251571655273,50,uniform_gate,123,2020
Mpox,0.9179395437240601,50,uniform_gate,123,2020
Yellow Fever,1.0835788249969482,50,uniform_gate,123,2020
AFP,0.26415595412254333,50,entropy_w_0.0,123,2020
CSM,1.0219416618347168,50,entropy_w_0.0,123,2020
Cholera,2.0146021842956543,50,entropy_w_0.0,123,2020
Lassa Fever,0.6015776991844177,50,entropy_w_0.0,123,2020
Measles,0.931337296962738,50,entropy_w_0.0,123,2020
Mpox,0.8179754018783569,50,entropy_w_0.0,123,2020
Yellow Fever,1.0426760911941528,50,entropy_w_0.0,123,2020
AFP,0.263310045003891,50,entropy_w_0.02,123,2020
CSM,0.9719640612602234,50,entropy_w_0.02,123,2020
Cholera,1.9055190086364746,50,entropy_w_0.02,123,2020
Lassa Fever,0.6046589612960815,50,entropy_w_0.02,123,2020
Measles,0.8710092306137085,50,entropy_w_0.02,123,2020
