disease,MAE,RMSE,n,variant,seed_run,fold_test_year
Cholera,1.3727818727493286,1.7720671076973185,15,learned_gate,2024,2022
Lassa Fever,0.21367880702018738,0.2794856520554443,15,learned_gate,2024,2022
Measles,0.5945876836776733,0.788147272798098,15,learned_gate,2024,2022
Mpox,2.371382236480713,2.5234675449909316,15,learned_gate,2024,2022
Yellow Fever,0.6173414587974548,0.6925256579083693,15,learned_gate,2024,2022
AFP,0.3801738917827606,0.4859036964360691,15,uniform_gate,2024,2022
CSM,0.5211315155029297,0.6720089889702864,15,uniform_gate,2024,2022
Cholera,1.8387713432312012,2.06731869143595,15,uniform_gate,2024,2022
Lassa Fever,0.2586856484413147,0.3198660087946664,15,uniform_gate,2024,2022
Measles,0.6965460181236267,0.870596226136616,15,uniform_gate,2024,2022
Mpox,2.569117307662964,2.7219795250777747,15,uniform_gate,2024,2022
Yellow Fever,0.4058813154697418,0.5269438463529523,15,uniform_gate,2024,2022
AFP,0.811431348323822,1.2550093887555436,22,learned_gate,2024,2023
CSM,1.2260711193084717,1.516242068805377,22,learned_gate,2024,2023
Cholera,0.992283046245575,1.190952101902969,22,learned_gate,2024,2023
Lassa Fever,0.3103536367416382,0.36148354564247603,22,learned_gate,2024,2023
Measles,1.6008762121200562,1.8246553539770516,22,learned_gate,2024,2023
Mpox,1.7171072959899902,1.9358683452924106,22,learned_gate,2024,2023
Yellow Fever,0.5919749736785889,0.719822001243553,22,learned_gate,2024,2023
AFP,0.8341386914253235,1.2660363082349677,22,uniform_gate,2024,2023
CSM,1.1837319135665894,1.5011783580853455,22,uniform_gate,2024,2023
Cholera,0.9810114502906799,1.1816162106852834,22,uniform_gate,2024,2023
Lassa Fever,0.33449000120162964,0.39033274207910595,22,uniform_gate,2024,2023
Measles,1.5069469213485718,1.729884270672476,22,uniform_gate,2024,2023
Mpox,1.764967441558838,2.002516117483515,22,uniform_gate,2024,2023
Yellow Fever,0.6189879775047302,0.7475657297662142,22,uniform_gate,2024,2023
AFP,0.5038809776306152,0.686337463454328,42,learned_gate,2024,2024
CSM,1.7576346397399902,2.054787172866121,42,learned_gate,2024,2024
Cholera,1.6622436046600342,2.048507621723025,42,learned_gate,2024,2024
Lassa Fever,0.6377452611923218,0.8630044761002361,42,learned_gate,2024,2024
Measles,0.8851941227912903,1.017459269371515,42,learned_gate,2024,2024
Mpox,2.090841054916382,2.150801367341725,42,learned_gate,2024,2024
Yellow Fever,0.4854587912559509,0.663225476691209,42,learned_gate,2024,2024
AFP,0.5049102306365967,0.676042274823574,42,uniform_gate,2024,2024
CSM,1.7614840269088745,2.065182184491034,42,uniform_gate,2024,2024
Cholera,1.6732079982757568,2.083783355427617,42,uniform_gate,2024,2024
Lassa Fever,0.6513444185256958,0.8672515570548786,42,uniform_gate,2024,2024
Measles,0.877699613571167,0.9943310868057448,42,uniform_gate,2024,2024
Mpox,2.137007713317871,2.191814962477999,42,uniform_gate,2024,2024
Yellow Fever,0.4951918125152588,0.6597144324417213,42,uniform_gate,2024,2024
AFP,0.6478706002235413,1.071413017341701,52,learned_gate,2024,2025
CSM,1.6765557527542114,1.984448589252037,52,learned_gate,2024,2025
Cholera,1.7386633157730103,2.028135288488686,52,learned_gate,2024,2025
Lassa Fever,0.3553953766822815,0.42434806398350344,52,learned_gate,2024,2025
Measles,1.7499125003814697,2.3092612190762845,52,learned_gate,2024,2025
Mpox,1.7055039405822754,1.799768721769139,52,learned_gate,2024,2025
Yellow Fever,0.7117303609848022,1.1490225826132507,52,learned_gate,2024,2025
AFP,0.6519102454185486,1.0736579124565944,52,uniform_gate,2024,2025
CSM,1.7327767610549927,2.0275223787439125,52,uniform_gate,2024,2025
Cholera,1.63370680809021,1.9632609307497189,52,uniform_gate,2024,2025
Lassa Fever,0.3561427891254425,0.4392340559109272,52,uniform_gate,2024,2025
Measles,1.7546921968460083,2.3457911440735235,52,uniform_gate,2024,2025
Mpox,1.6888346672058105,1.75235746176768,52,uniform_gate,2024,2025
Yellow Fever,0.6920449137687683,1.1475868967601275,52,uniform_gate,2024,2025
AFP,1.6473335027694702,2.1362090958752256,9,learned_gate,2024,2026
CSM,0.39081302285194397,0.463050862837872,9,learned_gate,2024,2026
Cholera,1.8787841796875,2.190165938792543,9,learned_gate,2024,2026
Lassa Fever,0.6028315424919128,0.7782784980827897,9,learned_gate,2024,2026
Measles,0.5317599773406982,0.5927267291851871,9,learned_gate,2024,2026
Mpox,0.4778693914413452,0.6094198943986845,9,learned_gate,2024,2026
Yellow Fever,0.8022429943084717,0.871885342006805,9,learned_gate,2024,2026
AFP,1.5470352172851562,2.0431805531863065,9,uniform_gate,2024,2026
CSM,0.6384863257408142,0.7678315809500507,9,uniform_gate,2024,2026
Cholera,1.5169119834899902,1.793349015877563,9,uniform_gate,2024,2026
Lassa Fever,0.7146115899085999,0.8938111984534737,9,uniform_gate,2024,2026
Measles,0.33923783898353577,0.47641045067756543,9,uniform_gate,2024,2026
Mpox,0.6366332173347473,0.7201258303705853,9,uniform_gate,2024,2026
Yellow Fever,0.6977002024650574,0.7679822018319353,9,uniform_gate,2024,2026
