day,Susceptible,Exposed,Infectious,Recovered
78.0,74297028.8883426,27633745.007970743,41489048.08966525,56580178.014021434
79.0,69009048.71467517,27423105.170702573,42768052.00463863,60799794.10998366
80.0,63965784.320134476,27023678.877776764,43874905.48113215,65135631.32095663
81.0,59190662.64669505,26444168.041787088,44797319.21770501,69567850.0938129
82.0,54697370.62725566,25707171.91540011,45516639.07654673,74078818.38079754
83.0,50489866.74318871,24849159.440628935,46007868.27273214,78653105.54345025
84.0,46571065.310999215,23896339.74289319,46261534.17396563,83271060.772142
85.0,42944305.72289867,22853522.216320276,46297586.42247798,87904585.6383031
86.0,39605099.08939677,21735457.428793244,46130377.095493,92529066.38631703
87.0,36544600.85474549,20561609.15039707,45770396.435331546,97123393.55952592
88.0,33749610.796939135,19356154.35341864,45224272.84941156,101669962.00023068
89.0,31202583.87415197,18147956.223195706,44494799.39577674,106154660.5068756
90.0,28887315.523040995,16954956.46925592,43596614.05041372,110561113.95728938
91.0,26789053.951127715,15782412.238094384,42557590.61847866,114870943.19229926
92.0,24890778.368147813,14640045.762080546,41398885.261941634,119070290.60783003
93.0,23176027.25744808,13536687.424974216,40139623.83331776,123147661.48425996
94.0,21628898.37598645,12480275.761925548,38796901.8756672,127093923.98642081
95.0,20234048.754331965,11477857.459475046,37385784.622595176,130902309.1635978
96.0,18977154.665496785,10533327.499429103,35922673.33511646,134566844.49995765
97.0,17845584.03159964,9643830.549172703,34430279.68612879,138080305.7330989
98.0,16825928.184846565,8813489.784739945,32917567.78040145,141443014.25001207
99.0,15906057.645288236,8044884.66564241,31393264.63836455,144655793.0507048
100.0,15075325.40830874,7338105.270858223,29867301.411950752,147719267.9088823
101.0,14324566.944625564,6690752.298832051,28350813.38459529,150633867.3719471
102.0,13646100.200289605,6097937.067475105,26856139.97123595,153399822.76099935
103.0,13033725.596685162,5552281.514165135,25396824.71831309,156017168.17083666
104.0,12482201.283605086,5045506.717977244,23985773.263880704,158486518.73453698
105.0,11983737.0886038,4580139.424984417,22621172.356227305,160814951.13018447
106.0,11532294.194992555,4156560.086270321,21301952.725106258,163009192.9936309
107.0,11122899.417463463,3772952.3972738134,20029256.165574536,165074892.0196882
108.0,10751201.703770377,3426492.62154126,18805147.346701324,167017158.32798705
109.0,10413472.1347289,3113349.59072654,17632613.81156799,168840564.46297657
110.0,10106603.924216375,2828684.7045910433,16515565.977268104,170549145.39392447
111.0,9827855.715500802,2567948.880229242,15457033.705214996,172147161.69905496
112.0,9574156.536633976,2330969.486201293,14453436.746327557,173641437.23083717
113.0,9342986.347951127,2116757.253206402,13502138.37896969,175038118.01987278
114.0,9132118.46697407,1923785.2226431957,12601307.451536965,176342788.85884577
115.0,8939591.26171742,1750108.1812874242,11749757.150769707,177560543.40622544
116.0,8763708.150688598,1593362.6612919634,10946945.001753006,178695984.18626642
117.0,8603037.602887833,1450766.940186815,10192972.867916709,179753222.58900863
118.0,8456231.41758168,1320363.8061839293,9486739.196714075,180736665.57952031
119.0,8321910.611088946,1202040.3180049239,8824516.000918,181651533.06998813
120.0,8198924.7065113615,1095080.2317564331,8203641.193244878,182502353.86848733
121.0,8086235.421367902,998601.1088906551,7621849.678179089,183293313.79156235
122.0,7982916.2482513,911556.8185644785,7077269.591960754,184028257.34122348
123.0,7888152.454828042,832737.5376394824,6568422.302585747,184710687.70494673
124.0,7801240.829161894,760771.6429309023,6094219.4308703,185343768.0970369
125.0,7721502.720040428,694870.6708914223,5652828.552158116,185930798.05691004
126.0,7648288.729733889,634911.3502553568,5241637.639778287,186475162.28023246
127.0,7581037.547963105,580515.4382653609,4858592.9270209195,186979854.0867506
128.0,7519236.197807268,531242.1969260031,4501865.675040645,187447655.9302261
129.0,7462420.035703934,486588.393003764,4169852.172856616,187881139.39843568
130.0,7410172.751449017,445988.2980270375,3861173.7373525114,188282665.21317142
131.0,7362126.368196797,408813.68828612997,3574676.713276531,188654383.23024052
132.0,7317935.284212984,374637.7544250755,3309027.8605796397,188998399.10078228
133.0,7277269.715029327,343401.7271426227,3062524.0140587315,189316804.5437693
134.0,7239842.55541046,314925.6784687863,2833781.8420822397,189611449.9240385
135.0,7205388.167639114,289005.7331020604,2621541.1397961616,189884064.95946264
136.0,7173662.351042421,265414.3174473655,2424664.419968643,190136258.91154155
137.0,7144442.341991906,243900.1596160488,2242136.9129899815,190369520.58540204
138.0,7117526.813903495,224188.28942588405,2073066.5668726247,190585218.32979798
139.0,7092733.596119486,206005.3980147092,1916644.367367777,190784616.638498
140.0,7069886.821568795,189285.41840130516,1771858.8067693645,190968968.95326054
141.0,7048833.4420509795,173963.76778752767,1637821.0104240726,191139381.7797374
142.0,7029432.495121346,159949.6592689458,1513737.70463614,191296880.14097357
143.0,7011552.5915369205,147143.87229745957,1398878.2420687662,191442425.29409686
