day,Susceptible,Infectious,Recovered
192.0,6791038.81305289,326.8251136982206,193208634.36183342
193.0,6791035.117222323,299.42253134623707,193208665.46024632
194.0,6791031.72645656,274.2818306940263,193208693.99171275
195.0,6791028.608148058,251.16125231553207,193208720.23059964
196.0,6791025.745424351,229.93569019158474,193208744.31888548
197.0,6791023.1218842985,210.4835380315446,193208766.39457768
198.0,6791020.72020899,192.6763867982666,193208786.60340422
199.0,6791018.523629073,176.38990207442475,193208805.08646885
200.0,6791016.515924748,161.50382406251222,193208821.9802512
201.0,6791014.681425772,147.90196758484132,193208837.41660663
202.0,6791013.005011458,135.47222208354344,193208851.52276647
203.0,6791011.472110675,124.10655162056923,193208864.4213377
204.0,6791010.068701847,113.70099487768829,193208876.2303033
205.0,6791008.781312956,104.15566515648945,193208887.0630219
206.0,6791007.597448781,95.37791800873224,193208897.0246332
207.0,6791006.510440141,87.31830409087732,193208906.17125577
208.0,6791005.514183084,79.93156556443023,193208914.55425134
209.0,6791004.602122294,73.16909833157138,193208922.22877938
210.0,6791003.767910091,66.98383775790059,193208929.24825215
211.0,6791003.005406421,61.3302586724373,193208935.6643349
212.0,6791002.30867886,56.164375367620345,193208941.52694577
213.0,6791001.6720026145,51.44374159930813,193208946.88425577
214.0,6791001.089860521,47.127450586778515,193208951.7826889
215.0,6791000.556943047,43.1761350127289,193208956.26692194
216.0,6791000.068148287,39.55196702327618,193208960.3798847
217.0,6790999.618697575,36.21951538473674,193208964.16178703
218.0,6790999.205949154,33.15919268569743,193208967.63485816
219.0,6790998.827633644,30.354172598724524,193208970.81819376
220.0,6790998.48126982,27.786058087674522,193208973.7326721
221.0,6790998.164454896,25.437033749039596,193208976.39851135
222.0,6790997.874864535,23.28986581194759,193208978.83526966
223.0,6790997.610252847,21.32790213816202,193208981.061845
224.0,6790997.368452384,19.535072222082093,193208983.0964754
225.0,6790997.147374144,17.895887190742673,193208984.95673868
226.0,6790996.945007572,16.395439803814316,193208986.65955263
227.0,6790996.759420558,15.01940445360325,193208988.221175
